recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1750000000,100000000,spot,depth5,0,0,0,BTCUSDT,"{""lastUpdateId"":99,""bids"":[[""25000.00"",""1.0""],[""24999.50"",""2.0""]],""asks"":[[""25000.50"",""1.5""],[""25001.00"",""3.0""]]}"
1750000000,200000000,spot,depth_diff,0,0,1,BTCUSDT,"{""e"":""depthUpdate"",""E"":1,""s"":""BTCUSDT"",""U"":100,""u"":101,""b"":[[""25000.00"",""1.2""],[""24999.00"",""5.0""]],""a"":[[""25000.50"",""0.7""]]}"
1750000000,300000000,spot,trade,0,0,2,BTCUSDT,"{""e"":""trade"",""E"":2,""s"":""BTCUSDT"",""t"":42,""p"":""25000.25"",""q"":""0.05"",""m"":true}"
1750000000,400000000,spot,depth_diff,0,0,3,BTCUSDT,"{""e"":""depthUpdate"",""E"":3,""s"":""BTCUSDT"",""U"":102,""u"":104,""b"":[[""25000.00"",""0.00000000""]],""a"":[[""25002.00"",""4.0""]]}"
1750000000,500000000,spot,depth_diff,0,0,4,BTCUSDT,"{""e"":""depthUpdate"",""E"":4,""s"":""BTCUSDT"",""U"":300,""u"":305,""b"":[[""24000.00"",""9.0""]],""a"":[[""24001.00"",""8.0""]]}"
1750000000,600000000,spot,depth_diff,0,0,5,BTCUSDT,"{""e"":""depthUpdate"",""E"":5,""s"":""BTCUSDT"",""U"":306,""u"":307,""b"":[[""24000.50"",""1.0""]],""a"":[]}"
