recv_tsec,recv_tnsec,venue,stream_kind,shard_id,conn_epoch,conn_seq,symbol,payload_json
1783510936,76379000,spot,depth5,0,0,12,BTCUSDT,"{""lastUpdateId"":97139311950,""bids"":[[""62131.57000000"",""0.61980000""],[""62131.56000000"",""0.00117000""],[""62131.18000000"",""0.00018000""],[""62131.17000000"",""0.05359000""],[""62131.16000000"",""0.02190000""]],""asks"":[[""62131.58000000"",""1.51013000""],[""62131.59000000"",""0.01090000""],[""62131.85000000"",""0.00018000""],[""62131.86000000"",""0.05105000""],[""62131.87000000"",""0.09574000""]]}"
1783510936,76617000,spot,depth_diff,0,0,13,BTCUSDT,"{""e"":""depthUpdate"",""E"":1783510936014,""s"":""BTCUSDT"",""U"":97139311921,""u"":97139311950,""b"":[[""62131.57000000"",""0.61980000""],[""62131.56000000"",""0.00117000""],[""62130.88000000"",""0.03258000""],[""62129.46000000"",""0.09298000""],[""62129.05000000"",""0.03556000""],[""62128.45000000"",""0.04018000""],[""62127.40000000"",""0.21166000""],[""62127.33000000"",""0.02000000""],[""62067.68000000"",""0.00000000""],[""62005.42000000"",""0.00022000""],[""57161.05000000"",""0.00000000""],[""55918.42000000"",""0.00460000""],[""55918.00000000"",""0.00010000""],[""49705.26000000"",""0.00040000""]],""a"":[[""62134.49000000"",""0.00018000""],[""62135.88000000"",""0.00804000""],[""62165.36000000"",""0.00401000""],[""62234.21000000"",""0.00000000""],[""62290.32000000"",""0.02521000""]]}"
1783510936,174505000,spot,depth5,0,0,14,BTCUSDT,"{""lastUpdateId"":97139311998,""bids"":[[""62131.57000000"",""1.30207000""],[""62131.56000000"",""0.00117000""],[""62131.18000000"",""0.00018000""],[""62131.17000000"",""0.05359000""],[""62131.16000000"",""0.02190000""]],""asks"":[[""62131.58000000"",""1.40598000""],[""62131.59000000"",""0.01099000""],[""62131.85000000"",""0.00018000""],[""62131.86000000"",""0.05105000""],[""62131.87000000"",""0.09574000""]]}"
1783510936,174542000,spot,depth_diff,0,0,15,BTCUSDT,"{""e"":""depthUpdate"",""E"":1783510936114,""s"":""BTCUSDT"",""U"":97139311951,""u"":97139311998,""b"":[[""62131.57000000"",""1.30207000""],[""62125.45000000"",""0.00560000""],[""62124.58000000"",""0.00000000""],[""62103.60000000"",""0.00400000""],[""62102.04000000"",""0.00009000""],[""62095.24000000"",""0.00000000""],[""61932.45000000"",""0.00010000""],[""55918.42000000"",""0.00460000""],[""55918.00000000"",""0.00010000""]],""a"":[[""62131.58000000"",""1.40598000""],[""62131.59000000"",""0.01099000""],[""62134.00000000"",""0.02418000""],[""62134.49000000"",""0.00000000""],[""62134.79000000"",""0.01518000""],[""62135.08000000"",""0.07812000""],[""62135.76000000"",""0.60415000""],[""62135.77000000"",""0.00000000""],[""62135.78000000"",""0.00009000""],[""62135.87000000"",""0.00000000""],[""62135.89000000"",""0.00000000""],[""62136.99000000"",""0.00000000""],[""62141.39000000"",""0.00000000""],[""62141.65000000"",""0.00400000""],[""62141.66000000"",""0.00000000""],[""62143.26000000"",""0.08546000""],[""62202.07000000"",""3.21700000""]]}"
1783510936,274804000,spot,depth5,0,0,16,BTCUSDT,"{""lastUpdateId"":97139312097,""bids"":[[""62131.57000000"",""1.47010000""],[""62131.56000000"",""0.00108000""],[""62131.18000000"",""0.00018000""],[""62131.17000000"",""0.02461000""],[""62131.16000000"",""0.02190000""]],""asks"":[[""62131.58000000"",""1.40409000""],[""62131.59000000"",""0.01099000""],[""62131.85000000"",""0.00018000""],[""62131.86000000"",""0.05105000""],[""62131.87000000"",""0.09565000""]]}"
1783510936,274991000,spot,depth_diff,0,0,17,BTCUSDT,"{""e"":""depthUpdate"",""E"":1783510936214,""s"":""BTCUSDT"",""U"":97139311999,""u"":97139312097,""b"":[[""62131.57000000"",""1.47010000""],[""62131.56000000"",""0.00108000""],[""62131.17000000"",""0.02461000""],[""62130.45000000"",""0.00000000""],[""62129.47000000"",""0.00000000""],[""62129.46000000"",""0.00018000""],[""62129.06000000"",""0.00000000""],[""62128.71000000"",""0.00000000""],[""62128.07000000"",""0.07803000""],[""62126.73000000"",""0.48474000""],[""62125.37000000"",""0.07803000""],[""62124.16000000"",""0.00000000""],[""62124.14000000"",""1.35059000""],[""62124.03000000"",""0.00000000""],[""62123.96000000"",""0.00000000""],[""62123.19000000"",""3.21682000""],[""62123.17000000"",""0.00000000""],[""62121.77000000"",""0.00000000""],[""62121.29000000"",""0.00000000""],[""62070.01000000"",""0.32522000""],[""62069.45000000"",""0.00000000""],[""62046.28000000"",""0.00000000""],[""61199.59000000"",""0.00030000""],[""55918.42000000"",""0.00460000""],[""55918.00000000"",""0.00010000""],[""49705.26000000"",""0.00000000""]],""a"":[[""62131.58000000"",""1.40409000""],[""62131.87000000"",""0.09565000""],[""62131.95000000"",""0.00000000""],[""62135.08000000"",""0.00000000""],[""62135.75000000"",""0.25520000""],[""62135.76000000"",""0.00000000""],[""62135.78000000"",""0.00000000""],[""62135.88000000"",""0.00000000""],[""62135.91000000"",""0.00000000""],[""62136.99000000"",""0.77202000""],[""62137.00000000"",""0.00000000""],[""62137.43000000"",""0.00804000""],[""62138.95000000"",""0.00000000""],[""62139.23000000"",""0.00192000""],[""62139.59000000"",""0.77202000""],[""62139.60000000"",""0.00000000""],[""62141.65000000"",""1.44125000""],[""62141.66000000"",""3.82088000""],[""62141.67000000"",""0.00000000""],[""62141.68000000"",""0.00000000""],[""62144.88000000"",""0.00000000""],[""62147.33000000"",""0.57234000""],[""62147.34000000"",""0.80546000""],[""62148.53000000"",""0.00000000""],[""62200.38000000"",""1.07311000""],[""62209.53000000"",""0.00000000""],[""62232.71000000"",""0.00000000""],[""62290.32000000"",""0.00000000""]]}"
1783510936,374395000,spot,depth5,0,0,18,BTCUSDT,"{""lastUpdateId"":97139312130,""bids"":[[""62131.57000000"",""1.47010000""],[""62131.56000000"",""0.00117000""],[""62131.18000000"",""0.00018000""],[""62131.17000000"",""0.02461000""],[""62131.16000000"",""0.02190000""]],""asks"":[[""62131.58000000"",""1.40391000""],[""62131.59000000"",""0.01099000""],[""62131.85000000"",""0.00018000""],[""62131.86000000"",""0.05105000""],[""62131.87000000"",""0.09565000""]]}"
1783510936,374462000,spot,depth_diff,0,0,19,BTCUSDT,"{""e"":""depthUpdate"",""E"":1783510936314,""s"":""BTCUSDT"",""U"":97139312098,""u"":97139312130,""b"":[[""62131.57000000"",""1.47010000""],[""62131.56000000"",""0.00117000""],[""62130.88000000"",""0.03258000""],[""62129.46000000"",""0.00000000""],[""62128.45000000"",""0.04018000""],[""62128.07000000"",""0.07821000""],[""62053.95000000"",""0.04995000""],[""55918.42000000"",""0.00440000""],[""55918.00000000"",""0.00000000""],[""32700.80000000"",""0.00000000""]],""a"":[[""62131.58000000"",""1.40391000""],[""62131.59000000"",""0.01099000""],[""62133.24000000"",""0.00000000""],[""62134.79000000"",""0.00018000""],[""62161.32000000"",""0.00400000""],[""62240.41000000"",""0.08985000""]]}"
1783510936,474351000,spot,depth5,0,0,20,BTCUSDT,"{""lastUpdateId"":97139312148,""bids"":[[""62131.57000000"",""1.47010000""],[""62131.56000000"",""0.00117000""],[""62131.18000000"",""0.00018000""],[""62131.17000000"",""0.02461000""],[""62131.16000000"",""0.02190000""]],""asks"":[[""62131.58000000"",""1.40391000""],[""62131.59000000"",""0.01099000""],[""62131.85000000"",""0.00018000""],[""62131.86000000"",""0.05105000""],[""62131.87000000"",""0.09565000""]]}"
1783510936,474401000,spot,depth_diff,0,0,21,BTCUSDT,"{""e"":""depthUpdate"",""E"":1783510936414,""s"":""BTCUSDT"",""U"":97139312131,""u"":97139312148,""b"":[[""62128.56000000"",""0.00400000""],[""62103.60000000"",""0.00000000""],[""55918.42000000"",""0.00440000""],[""55918.00000000"",""0.00000000""]],""a"":[[""62134.00000000"",""0.02418000""],[""62134.79000000"",""0.00000000""],[""62135.75000000"",""0.25538000""]]}"
